,country,cases
694,Kazakhstan,0
695,Kenya,0
696,"Korea, South",2
697,Kosovo,0
698,Kuwait,0
699,Kyrgyzstan,0
700,Laos,0
701,Latvia,0
702,Lebanon,0
703,Lesotho,0
704,Liberia,0
705,Libya,0
706,Liechtenstein,0
692,Japan,2
742,Papua New Guinea,0
809,Zimbabwe,0
744,Peru,0
780,Timor-Leste,0
781,Togo,0
782,Trinidad and Tobago,0
783,Tunisia,0
784,Turkey,0
785,US,2
786,Uganda,0
787,Ukraine,0
788,United Arab Emirates,0
789,United Kingdom,0
790,United Kingdom,0
791,United Kingdom,0
792,United Kingdom,0
793,United Kingdom,0
779,Thailand,5
794,United Kingdom,0
796,United Kingdom,0
797,United Kingdom,0
798,United Kingdom,0
799,United Kingdom,0
800,Uruguay,0
801,Uzbekistan,0
802,Vanuatu,0
803,Venezuela,0
804,Vietnam,2
805,West Bank and Gaza,0
806,Western Sahara,0
807,Yemen,0
808,Zambia,0
676,Guinea,0
795,United Kingdom,0
778,Tanzania,0
777,Tajikistan,0
776,Taiwan,3
745,Philippines,0
746,Poland,0
747,Portugal,0
748,Qatar,0
749,Romania,0
750,Russia,0
751,Rwanda,0
752,Saint Kitts and Nevis,0
753,Saint Lucia,0
754,Saint Vincent and the Grenadines,0
755,San Marino,0
756,Sao Tome and Principe,0
757,Saudi Arabia,0
758,Senegal,0
759,Serbia,0
760,Seychelles,0
761,Sierra Leone,0
775,Syria,0
774,Switzerland,0
773,Sweden,0
772,Suriname,0
771,Sudan,0
770,Sri Lanka,0
743,Paraguay,0
769,Spain,0
767,South Africa,0
766,Somalia,0
765,Solomon Islands,0
764,Slovenia,0
763,Slovakia,0
762,Singapore,3
768,South Sudan,0
675,Guatemala,0
606,China,2
673,Greece,0
574,Burma,0
575,Burundi,0
576,Cabo Verde,0
577,Cambodia,0
578,Cameroon,0
579,Canada,0
580,Canada,0
581,Canada,0
582,Canada,0
583,Canada,0
584,Canada,0
585,Canada,0
586,Canada,0
587,Canada,0
573,Burkina Faso,0
588,Canada,0
590,Canada,0
591,Canada,0
592,Canada,0
593,Canada,0
594,Central African Republic,0
595,Chad,0
596,Chile,0
597,China,15
598,China,36
599,China,27
600,China,10
601,China,2
602,China,53
603,China,23
589,Canada,0
604,China,3
572,Bulgaria,0
570,Brazil,0
